input_text,summary_indicator_coverage,summary_category_density,summary_semantic_confidence,summary_linguistic_indicator_strength,semantic_category,semantic_relation,semantic_variable_X,semantic_variable_Y,semantic_variable_Z,total_categories,total_matches,total_suggestions,suggestion_category,suggestion_code,suggestion_relevance,suggestion_score,scatter_x,scatter_y,scatter_size
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,aktor,identitas partisipan,0.143,100,0.143,1,12
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,tindakan,aktivitas pembelajaran,0.286,100,0.286,2,24
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,kausalitas,penalaran kausal,0.2,100,0.2,1,12
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,aktor,referensi diri,0.143,99,0.143,1,12
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,tindakan,proses perilaku,0.286,99,0.286,2,24
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,kausalitas,pernyataan eksplanatif,0.2,99,0.2,1,12
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,aktor,posisi pembicara,0.143,98,0.143,1,12
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,tindakan,strategi adaptasi,0.286,98,0.286,2,24
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,kausalitas,justifikasi,0.2,98,0.2,1,12
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,aktor,aktor sosial,0.143,97,0.143,1,12
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,tindakan,tindakan instruksional,0.286,97,0.286,2,24
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,kausalitas,hubungan konsekuensi,0.2,97,0.2,1,12
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,aktor,peran individu,0.143,96,0.143,1,12
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,tindakan,praktik komunikasi,0.286,96,0.286,2,24
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,kausalitas,hubungan sebab-akibat,0.2,96,0.2,1,12
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,aktor,identitas kelompok,0.143,95,0.143,1,12
saya belajar karena saya ingin meningkatkan kemampuan saya,0.121,0.6,1.0,0.473,tindakan,saya melakukan tindakan meningkatkan untuk mencapai karena,saya,meningkatkan,karena,3,4,17,tindakan,respons tindakan,0.286,95,0.286,2,24
