input_text,summary_indicator_coverage,summary_category_density,summary_semantic_confidence,summary_linguistic_indicator_strength,semantic_category,semantic_relation,semantic_variable_X,semantic_variable_Y,semantic_variable_Z,total_categories,total_matches,total_suggestions,suggestion_category,suggestion_code,suggestion_relevance,suggestion_score,scatter_x,scatter_y,scatter_size
"Perkembangan teknologi memberikan perubahan yang sangat besar terhadap sistem pendidikan di Indonesia. Jika dibandingkan dengan sepuluh tahun yang lalu, proses pembelajaran saat ini jauh lebih digital dan fleksibel. Guru dan siswa kini memiliki akses yang lebih luas terhadap sumber belajar melalui internet. Buku pelajaran tidak lagi menjadi satu-satunya sumber informasi karena siswa dapat mencari materi tambahan melalui video pembelajaran, jurnal, aplikasi edukasi, maupun platform kursus daring.",0.121,0.6,1.0,0.473,tindakan,siswa melakukan tindakan belajar untuk mencapai karena,siswa,belajar,karena,3,4,17,aktor,identitas partisipan,0.286,100,0.286,2,24
"Perkembangan teknologi memberikan perubahan yang sangat besar terhadap sistem pendidikan di Indonesia. Jika dibandingkan dengan sepuluh tahun yang lalu, proses pembelajaran saat ini jauh lebih digital dan fleksibel. Guru dan siswa kini memiliki akses yang lebih luas terhadap sumber belajar melalui internet. Buku pelajaran tidak lagi menjadi satu-satunya sumber informasi karena siswa dapat mencari materi tambahan melalui video pembelajaran, jurnal, aplikasi edukasi, maupun platform kursus daring.",0.121,0.6,1.0,0.473,tindakan,siswa melakukan tindakan belajar untuk mencapai karena,siswa,belajar,karena,3,4,17,tindakan,aktivitas pembelajaran,0.143,100,0.143,1,12
"Perkembangan teknologi memberikan perubahan yang sangat besar terhadap sistem pendidikan di Indonesia. Jika dibandingkan dengan sepuluh tahun yang lalu, proses pembelajaran saat ini jauh lebih digital dan fleksibel. Guru dan siswa kini memiliki akses yang lebih luas terhadap sumber belajar melalui internet. Buku pelajaran tidak lagi menjadi satu-satunya sumber informasi karena siswa dapat mencari materi tambahan melalui video pembelajaran, jurnal, aplikasi edukasi, maupun platform kursus daring.",0.121,0.6,1.0,0.473,tindakan,siswa melakukan tindakan belajar untuk mencapai karena,siswa,belajar,karena,3,4,17,kausalitas,penalaran kausal,0.2,100,0.2,1,12
"Perkembangan teknologi memberikan perubahan yang sangat besar terhadap sistem pendidikan di Indonesia. Jika dibandingkan dengan sepuluh tahun yang lalu, proses pembelajaran saat ini jauh lebih digital dan fleksibel. Guru dan siswa kini memiliki akses yang lebih luas terhadap sumber belajar melalui internet. Buku pelajaran tidak lagi menjadi satu-satunya sumber informasi karena siswa dapat mencari materi tambahan melalui video pembelajaran, jurnal, aplikasi edukasi, maupun platform kursus daring.",0.121,0.6,1.0,0.473,tindakan,siswa melakukan tindakan belajar untuk mencapai karena,siswa,belajar,karena,3,4,17,aktor,referensi diri,0.286,99,0.286,2,24
"Perkembangan teknologi memberikan perubahan yang sangat besar terhadap sistem pendidikan di Indonesia. Jika dibandingkan dengan sepuluh tahun yang lalu, proses pembelajaran saat ini jauh lebih digital dan fleksibel. Guru dan siswa kini memiliki akses yang lebih luas terhadap sumber belajar melalui internet. Buku pelajaran tidak lagi menjadi satu-satunya sumber informasi karena siswa dapat mencari materi tambahan melalui video pembelajaran, jurnal, aplikasi edukasi, maupun platform kursus daring.",0.121,0.6,1.0,0.473,tindakan,siswa melakukan tindakan belajar untuk mencapai karena,siswa,belajar,karena,3,4,17,tindakan,proses perilaku,0.143,99,0.143,1,12
"Perkembangan teknologi memberikan perubahan yang sangat besar terhadap sistem pendidikan di Indonesia. Jika dibandingkan dengan sepuluh tahun yang lalu, proses pembelajaran saat ini jauh lebih digital dan fleksibel. Guru dan siswa kini memiliki akses yang lebih luas terhadap sumber belajar melalui internet. Buku pelajaran tidak lagi menjadi satu-satunya sumber informasi karena siswa dapat mencari materi tambahan melalui video pembelajaran, jurnal, aplikasi edukasi, maupun platform kursus daring.",0.121,0.6,1.0,0.473,tindakan,siswa melakukan tindakan belajar untuk mencapai karena,siswa,belajar,karena,3,4,17,kausalitas,pernyataan eksplanatif,0.2,99,0.2,1,12
"Perkembangan teknologi memberikan perubahan yang sangat besar terhadap sistem pendidikan di Indonesia. Jika dibandingkan dengan sepuluh tahun yang lalu, proses pembelajaran saat ini jauh lebih digital dan fleksibel. Guru dan siswa kini memiliki akses yang lebih luas terhadap sumber belajar melalui internet. Buku pelajaran tidak lagi menjadi satu-satunya sumber informasi karena siswa dapat mencari materi tambahan melalui video pembelajaran, jurnal, aplikasi edukasi, maupun platform kursus daring.",0.121,0.6,1.0,0.473,tindakan,siswa melakukan tindakan belajar untuk mencapai karena,siswa,belajar,karena,3,4,17,aktor,posisi pembicara,0.286,98,0.286,2,24
"Perkembangan teknologi memberikan perubahan yang sangat besar terhadap sistem pendidikan di Indonesia. Jika dibandingkan dengan sepuluh tahun yang lalu, proses pembelajaran saat ini jauh lebih digital dan fleksibel. Guru dan siswa kini memiliki akses yang lebih luas terhadap sumber belajar melalui internet. Buku pelajaran tidak lagi menjadi satu-satunya sumber informasi karena siswa dapat mencari materi tambahan melalui video pembelajaran, jurnal, aplikasi edukasi, maupun platform kursus daring.",0.121,0.6,1.0,0.473,tindakan,siswa melakukan tindakan belajar untuk mencapai karena,siswa,belajar,karena,3,4,17,tindakan,strategi adaptasi,0.143,98,0.143,1,12
"Perkembangan teknologi memberikan perubahan yang sangat besar terhadap sistem pendidikan di Indonesia. Jika dibandingkan dengan sepuluh tahun yang lalu, proses pembelajaran saat ini jauh lebih digital dan fleksibel. Guru dan siswa kini memiliki akses yang lebih luas terhadap sumber belajar melalui internet. Buku pelajaran tidak lagi menjadi satu-satunya sumber informasi karena siswa dapat mencari materi tambahan melalui video pembelajaran, jurnal, aplikasi edukasi, maupun platform kursus daring.",0.121,0.6,1.0,0.473,tindakan,siswa melakukan tindakan belajar untuk mencapai karena,siswa,belajar,karena,3,4,17,kausalitas,justifikasi,0.2,98,0.2,1,12
"Perkembangan teknologi memberikan perubahan yang sangat besar terhadap sistem pendidikan di Indonesia. Jika dibandingkan dengan sepuluh tahun yang lalu, proses pembelajaran saat ini jauh lebih digital dan fleksibel. Guru dan siswa kini memiliki akses yang lebih luas terhadap sumber belajar melalui internet. Buku pelajaran tidak lagi menjadi satu-satunya sumber informasi karena siswa dapat mencari materi tambahan melalui video pembelajaran, jurnal, aplikasi edukasi, maupun platform kursus daring.",0.121,0.6,1.0,0.473,tindakan,siswa melakukan tindakan belajar untuk mencapai karena,siswa,belajar,karena,3,4,17,aktor,aktor sosial,0.286,97,0.286,2,24
